name,rating,price,url,description,instruction,country
Парфюмерная вода ESSENTIAL PARFUMS PARIS  Bois imperial refillable limited edition,4.2,6 881,https://goldapple.ru/19000257262-bois-imperial-refillable-limited-edition,"Лимитированная версия аромата BOIS IMPERIAL — совместный выпуск ESSENTIAL PARFUMS и «Золотого Яблока».

Парфюмер – Quentin Bisch. «Центром созданного мной аромата стала необыкновенная и редкая нота – акигалвуд. Эта уникальная древесная нота, украшенная свежими специями, играет на контрастах». 

Чувственный и свежий аромат ESSENTIAL PARFUMS с древесными, пряными и зелеными аккордами дополняют насыщенный гаитянский ветивер, пачули и нота Ambrofix со стойким звучанием амбры. Свежие листья базилика сочетаются с игривым ароматом перца Тимут, который раскрывает не только острую грань, но и свежую ноту, напоминающую грейпфрут. В составе парфюмерной воды – 93% натуральных ингредиентов. 

Создатели ароматов ESSENTIAL PARFUMS выбирают натуральные, экологически чистые материалы и стремятся снизить воздействие на окружающую среду. 

Флакон парфюмерной воды подходит для многоразового использования, и его можно пополнять из рефила. ",Только для наружного применения.,Франция
Парфюмерная вода FRANCK BOCLET  LAVENDER,5.0,6 392,https://goldapple.ru/26142600002-lavender,"Lavender Franck Boclet - сильный очаровательный аромат для него! Аромат семейства ароматический, древесный. Верхние ноты: тмин, кумкват, бергамот. Ноты сердца: лаванда, яблоко, полынь, корица.",-,Франция
Парфюмерная вода L'Artisan Parfumeur  Il Était Un Bois,3.7,17 008,https://goldapple.ru/19000283378-il-etait-un-bois,"Все тайное и мистическое зачастую скрывается в лесу. Эта притягательная сила манит и приглашает нас заглянуть в его глубины. 

Завораживающие звуки, живописная палитра и обволакивающий аромат истинной природы однажды обратили на себя внимание парфюмеров Дома L'Artisan Parfumeur.

Словно художники, идущие за вдохновением, мы видим извилистую тропу впереди, ведущую на заколдованную поляну. Здесь царство благородных древесных ароматов — таких же величественных, как Méchant Loup и Bois Farine.

Подобно сюжетам сказок, этот волшебный лес таит в себе и опасность, ведь издревле он считался местом силы жрецов и магов. Здесь они не только добывали целительные травы и растения, но и проводили таинственные колдовские обряды, спрятанные от посторонних глаз под густым сводом деревьев. Само название аромата Il Était Un Bois звучит как магическое заклинание…

Парфюмер Каролин Дюмюр отправляется в самое сердце благоухающего леса, чтобы услышать пульсирующее звучание ветивера, который мы узнаём с первых же нот. Аромат Il Était Un Bois, словно растение, пробивается сквозь почву навстречу небосводу в окружении сонных листьев, укутывающих землю.","Нанести на кожу, избегая попадания в глаза.",Франция
Свеча ароматическая Vellutier  Rendezvous,-,4 597,https://goldapple.ru/19000131317-rendezvous,"Свечи Vellutier — Это дизайн, элегантность и история, описанная в ароматах.
Это бархатистый воск высочайшего качества, изготовленный по специальному рецепту в уникальном стакане. Его утонченная форма с характерным срезом, образует идеальную фигуру с крышкой из натурального дерева.
Геральдический логотип, выгравированный на деревянной крышке, подчеркивает уникальность благородного материала, раскрывая его неповторимую структуру. Свечи Vellutier имеют специальный хлопковый фитиль, изготовленный с добавлением египетского хлопка. Для его изготовления мы используем хлопок высочайшего качества, который позволяет свече гореть красивым пламенем.
Ароматы Vellutier — это тщательно подобранные элегантные композиции, которые переносят нас в далекие края, рассказывая через уникальные ноты, захватывающие истории о самых красивых уголках мира!
Первое свидание - это моменты, полные волнения и чувственност, которые запоминаются на всю жизнь. В нашей соблазнительной композиции вы почувствуете ноты озона, жасмина, розового дерева и ириса, подчеркнутые соблазнительными аккордами кедра, сандала и мускуса.",Ароматическая композиция,Польша
Парфюмерная вода SOLINOTES  AMANDE,4.6,1 462,https://goldapple.ru/19000109014-amande,"Аромат SOLINOTES построен вокруг мягкой, расслабляющей и ностальгической ноты миндаля, напоминающей о миндальном печенье и макарунах, ликере Амаретто, ореховом креме Франжипан или о калиссонах – традиционных прованских сладостях. 
Неожиданной парой для миндаля становится маракуйя, которая добавляет фруктовую свежесть и придаёт композиции еще большую яркость и оригинальность. 
Ноты бобов тонка окутывают миндаль теплотой, а кремовый сандал и ваниль подчеркивает его нежную, гурманскую грань и делают аромат по-настоящему изысканным и гармоничным. 
Парфюмерную воду можно сочетать с другими композициями бренда, чтобы создать свой неповторимый микс любимых нот, или использовать отдельно, наслаждаясь нежной и чарующей сладостью миндаля.",Только для наружного применения.,Франция
"Духи концентрированные Zielinski & Rozen  Black Pepper, Vetiver, Neroli, Amber",4.7,2 200,https://goldapple.ru/19000004553-black-pepper-amber-neroli,"Я хочу, чтобы парфюм трогал до глубины души, говорил о личности и отражал ее уникальность.
Эрез Розен 

Замысловатая ольфакторная книга, сюжет которой раскрывается новыми гранями на каждом человеке. Необычные сочетания нот и оригинальное построение аккордов подчеркивают индивидуальность и раскрывают суть ярче любых слов. 

Все ароматы Zielinski&Rozen категории унисекс.",Наносите парфюм по обе стороны плеч или распылите впереди себя и войдите в «облако» аромата.,Россия
Парфюмерная вода Rose et Marius  Une escale dans les calanques,4.5,6 810,https://goldapple.ru/19000173782-une-escale-dans-les-calanques,"Прикоснитесь к искусству жизни на Юге Франции с уникальными композициями из Грасса. Песнь цикад, летний зной и кристально чистая вода в бухте. Парфюмерная вода Une escale dans les calanques приглашает сделать остановку в бухте и забыть обо всем. 
Солнечная и бодрящая волна цитрусов оставляет после себя ощущение счастья. Йод, напоминающий морские брызги, усиливает звучание. Теплый песок смешивается с древесными нотами и акцент в виде бессмертника.
",Распылите на кожу на расстоянии 20-30 см.,Франция
Свеча ароматическая Vellutier  Café Au Laitt,4.0,3 285,https://goldapple.ru/19000131338-cafe-au-laitt,"Свечи Vellutier — Это дизайн, элегантность и история, описанная в ароматах.
Это бархатистый воск высочайшего качества, изготовленный по специальному рецепту в уникальном стакане. Его утонченная форма с характерным срезом, образует идеальную фигуру с крышкой из натурального дерева.
Геральдический логотип, выгравированный на деревянной крышке, подчеркивает уникальность благородного материала, раскрывая его неповторимую структуру. Свечи Vellutier имеют специальный хлопковый фитиль, изготовленный с добавлением египетского хлопка. Для его изготовления мы используем хлопок высочайшего качества, который позволяет свече гореть красивым пламенем.
Ароматы Vellutier — это тщательно подобранные элегантные композиции, которые переносят нас в далекие края, рассказывая через уникальные ноты, захватывающие истории о самых красивых уголках мира!
Ничто так не пробуждает чувства по утрам, как ароматный кофе. Встречайте свой день по-французски благодаря богатому аромату свежемолотых зерен арабики, слегка вспененного теплого молока с оттенком сладости, скрытой в тончайшей ванили.",Ароматическая композиция,Польша
Парфюмерная вода BANANA REPUBLIC  Neroli Woods,3.9,3 490,https://goldapple.ru/19760313126-neroli-woods,"Нежная композиция Neroli Woods от Banana Republic переносит в тёплый летний день на юге Франции. Ароматы нероли и апельсинового цвета пробуждают мысли о солнечных днях на пляже, беззаботных и радостных, как в детстве. 
Цитрусовые ноты напоминают йогуртовый пирог с апельсином и в сочетании с кокосом дарят лёгкую сладость. Цветочно-фруктовую нежность гармонично дополняет древесный аккорд, объединивший сандал, кедр и эбеновое дерево. 
Парфюмер – Patricia Choux.",Только для наружного применения.,Франция
Отдушка косметическая VENEW  Leather & santal,-,1 500,https://goldapple.ru/19000271836-leather-santal,"Отдушка парфюмерная - настоящий маст-хэв для любителей ароматерапии и создания уютной атмосферы в доме. Что может быть лучше, чем наслаждаться нежным, исключительным ароматом свечей, духов или диффузоров?

Мы предлагаем наш совершенный инструмент для создания магии аромата. Концентраты разработаны с использованием передовых технологий и только из высококачественных компонентов. Отдушки довольно универсальны и подходят для свечей, мыла, духов и других ароматизированных изделий.

В наличии широкий выбор ароматов: цитрусовые, гурманские, сладкие ванильные или свежие зеленые, цветочные и фруктовые, новогодние и парфюмерные, созданные по мотивам известных духов и т.д.

Наша отдушка косметическая обладает высокой концентрацией, поэтому небольшого количества жидкости хватит, чтобы создать тот самый неповторимый аромат. Вы также можете собрать себе комплект из нескольких флаконов.

Набор отдушек, оформленный в подарочную упаковку, станет чудесным подарком. Ознакомьтесь со всей линейкой парфюма VENEW, кликнув по бренду. Получите максимум от своих продуктов при минимальных затратах!","Примерный процент ввода отдушки в изделие: диффузор для дома - 25-30%, ароматические свечи - 8-12%, тоники и лосьоны - 0,05-0,1%, парфюмерия - до 35%, мыло - 0,5–2%, крема - 0,05-0,2%, шампуни, гели для душа, пена для ванн - 0,3–1%, бомбочки для ванн - 0,1–0,5%, кондиционеры для белья - 0,3–0,5%, скрабы для тела, соль для ванн - 1-2%, чистящие средства, бытовая химия - 0,3–0,9%, освежители воздуха на водной основе - 2%, различные ароматизаторы - 20-30%.",Россия
